cellid,exampleid,ingoing,circuit,stream,command,length,t_trace
42146,109,True,3773114191,10202,DATA(2),498,1472610598.70383
42147,109,True,3773114191,10202,DATA(2),498,1472610598.767755
42148,109,True,3773114191,10202,DATA(2),448,1472610598.806767
42149,109,True,3773114191,10202,DATA(2),498,1472610598.806847
42150,109,True,3773114191,10202,DATA(2),498,1472610598.806868
42151,109,True,3773114191,10202,DATA(2),498,1472610598.806885
42152,109,True,3773114191,10202,DATA(2),498,1472610598.806903
42153,109,True,3773114191,10202,DATA(2),498,1472610598.806922
42154,109,True,3773114191,10202,DATA(2),498,1472610598.806955
42155,109,True,3773114191,10202,DATA(2),498,1472610598.822761
42156,109,True,3773114191,10202,DATA(2),498,1472610598.822829
42157,109,True,3773114191,10202,DATA(2),498,1472610598.822849
42158,109,True,3773114191,10202,DATA(2),498,1472610598.822867
42159,109,True,3773114191,10202,DATA(2),498,1472610598.822884
42160,109,True,3773114191,10202,DATA(2),498,1472610598.822902
42161,109,True,3773114191,10202,DATA(2),498,1472610598.82292
42162,109,False,3773114191,0,SENDME(5),0,1472610598.822932
42163,109,True,3773114191,10202,DATA(2),498,1472610598.885537
42164,109,True,3773114191,10202,DATA(2),498,1472610598.902434
42165,109,True,3773114191,10202,DATA(2),498,1472610598.902514
42166,109,True,3773114191,10202,DATA(2),498,1472610598.902536
42167,109,True,3773114191,10202,DATA(2),498,1472610598.902555
42168,109,True,3773114191,10202,DATA(2),498,1472610598.902573
42169,109,True,3773114191,10202,DATA(2),498,1472610598.90259
42170,109,True,3773114191,10202,DATA(2),498,1472610598.90261
42171,109,True,3773114191,10202,DATA(2),498,1472610598.96244
42172,109,True,3773114191,10202,DATA(2),498,1472610599.001286
42173,109,True,3773114191,10202,DATA(2),498,1472610599.001379
42174,109,True,3773114191,10202,DATA(2),498,1472610599.001399
42175,109,True,3773114191,10202,DATA(2),498,1472610599.001437
42176,109,True,3773114191,10202,DATA(2),498,1472610599.001459
42177,109,True,3773114191,10202,DATA(2),498,1472610599.001481
42178,109,True,3773114191,10202,DATA(2),498,1472610599.001499
42179,109,True,3773114191,10202,DATA(2),498,1472610599.022754
42180,109,True,3773114191,10202,DATA(2),498,1472610599.101979
42181,109,True,3773114191,10202,DATA(2),498,1472610599.102058
42182,109,True,3773114191,10202,DATA(2),448,1472610599.102078
42183,109,True,3773114191,10202,DATA(2),498,1472610599.102096
42184,109,True,3773114191,10202,DATA(2),498,1472610599.102113
42185,109,True,3773114191,10202,DATA(2),498,1472610599.102131
42186,109,True,3773114191,10202,DATA(2),498,1472610599.102149
42187,109,True,3773114191,10202,DATA(2),498,1472610599.102235
42188,109,True,3773114191,10202,DATA(2),498,1472610599.181931
42189,109,False,3773114191,10202,SENDME(5),0,1472610599.182016
42190,109,True,3773114191,10202,DATA(2),498,1472610599.182058
42191,109,True,3773114191,10202,DATA(2),498,1472610599.182087
42192,109,True,3773114191,10202,DATA(2),498,1472610599.182105
42193,109,True,3773114191,10202,DATA(2),498,1472610599.182142
42194,109,True,3773114191,10202,DATA(2),498,1472610599.182161
42195,109,True,3773114191,10202,DATA(2),498,1472610599.182179
42196,109,True,3773114191,10202,DATA(2),498,1472610599.182356
42197,109,True,3773114191,10202,DATA(2),498,1472610599.26168
42198,109,True,3773114191,10202,DATA(2),498,1472610599.261767
42199,109,True,3773114191,10202,DATA(2),498,1472610599.261792
42200,109,True,3773114191,10202,DATA(2),498,1472610599.261813
42201,109,True,3773114191,10202,DATA(2),498,1472610599.261834
42202,109,True,3773114191,10202,DATA(2),498,1472610599.261854
42203,109,True,3773114191,10202,DATA(2),498,1472610599.261874
42204,109,True,3773114191,10202,DATA(2),498,1472610599.261928
42205,109,True,3773114191,10202,DATA(2),498,1472610599.369269
42206,109,True,3773114191,10202,DATA(2),498,1472610599.369368
42207,109,True,3773114191,10202,DATA(2),498,1472610599.369393
42208,109,True,3773114191,10202,DATA(2),498,1472610599.369421
42209,109,True,3773114191,10202,DATA(2),498,1472610599.369462
42210,109,True,3773114191,10202,DATA(2),498,1472610599.369496
42211,109,True,3773114191,10202,DATA(2),498,1472610599.369519
42212,109,True,3773114191,10202,DATA(2),498,1472610599.369575
42213,109,True,3773114191,10202,DATA(2),498,1472610599.370857
42214,109,True,3773114191,10202,DATA(2),498,1472610599.370911
42215,109,True,3773114191,10202,DATA(2),498,1472610599.370946
42216,109,True,3773114191,10202,DATA(2),448,1472610599.370977
42217,109,True,3773114191,10202,DATA(2),498,1472610599.371008
42218,109,True,3773114191,10202,DATA(2),498,1472610599.371038
42219,109,True,3773114191,10202,DATA(2),498,1472610599.371068
42220,109,True,3773114191,10202,DATA(2),498,1472610599.484207
42221,109,True,3773114191,10202,DATA(2),287,1472610599.484292
42222,109,True,3773114191,10202,DATA(2),498,1472610599.484313
42223,109,True,3773114191,10202,DATA(2),498,1472610599.484331
42224,109,True,3773114191,10202,DATA(2),498,1472610599.484348
42225,109,True,3773114191,10202,DATA(2),498,1472610599.484367
42226,109,True,3773114191,10202,DATA(2),498,1472610599.484402
42227,109,True,3773114191,10202,DATA(2),498,1472610599.484536
42228,109,True,3773114191,10202,DATA(2),498,1472610599.487128
42229,109,True,3773114191,10202,DATA(2),498,1472610599.560626
42230,109,True,3773114191,10202,DATA(2),498,1472610599.560818
42231,109,True,3773114191,10202,DATA(2),498,1472610599.560857
42232,109,True,3773114191,10202,DATA(2),498,1472610599.560891
42233,109,True,3773114191,10202,DATA(2),498,1472610599.560909
42234,109,True,3773114191,10202,DATA(2),498,1472610599.560926
42235,109,True,3773114191,10202,DATA(2),498,1472610599.560955
42236,109,True,3773114191,10202,DATA(2),498,1472610599.566355
42237,109,True,3773114191,10202,DATA(2),498,1472610599.566423
42238,109,True,3773114191,10202,DATA(2),98,1472610599.566463
42239,109,True,3773114191,10202,DATA(2),498,1472610599.566502
42240,109,False,3773114191,10202,SENDME(5),0,1472610599.566565
42241,109,True,3773114191,10202,DATA(2),498,1472610599.639635
42242,109,True,3773114191,10202,DATA(2),440,1472610599.639702
42243,109,True,3773114191,10202,DATA(2),498,1472610599.64573
42244,109,True,3773114191,10202,DATA(2),498,1472610599.716641
42245,109,True,3773114191,10202,DATA(2),498,1472610599.716705
42246,109,True,3773114191,10202,DATA(2),498,1472610599.716727
42247,109,True,3773114191,10202,DATA(2),498,1472610599.716746
42248,109,True,3773114191,10202,DATA(2),498,1472610599.716765
42249,109,True,3773114191,10202,DATA(2),498,1472610599.716782
42250,109,True,3773114191,10202,DATA(2),498,1472610599.716801
42251,109,True,3773114191,10202,DATA(2),498,1472610599.725074
42252,109,True,3773114191,10202,DATA(2),498,1472610599.725232
42253,109,True,3773114191,10202,DATA(2),498,1472610599.725286
42254,109,True,3773114191,10202,DATA(2),498,1472610599.725328
42255,109,True,3773114191,10202,DATA(2),498,1472610599.725376
42256,109,True,3773114191,10202,DATA(2),498,1472610599.725421
42257,109,True,3773114191,10202,DATA(2),498,1472610599.725466
42258,109,True,3773114191,10202,DATA(2),498,1472610599.793778
42259,109,True,3773114191,10202,DATA(2),498,1472610599.83121
42260,109,True,3773114191,10202,DATA(2),498,1472610599.831327
42261,109,True,3773114191,10202,DATA(2),498,1472610599.831362
42262,109,True,3773114191,10202,DATA(2),498,1472610599.831383
42263,109,True,3773114191,10202,DATA(2),498,1472610599.831401
42264,109,True,3773114191,10202,DATA(2),498,1472610599.831418
42265,109,False,3773114191,0,SENDME(5),0,1472610599.83143
42266,109,True,3773114191,10202,DATA(2),498,1472610599.831476
42267,109,True,3773114191,10202,DATA(2),498,1472610599.854747
42268,109,True,3773114191,10202,DATA(2),498,1472610599.952385
42269,109,True,3773114191,10202,DATA(2),498,1472610599.952466
42270,109,True,3773114191,10202,DATA(2),498,1472610599.952487
42271,109,True,3773114191,10202,DATA(2),498,1472610599.952506
42272,109,True,3773114191,10202,DATA(2),498,1472610599.952523
42273,109,True,3773114191,10202,DATA(2),498,1472610599.95254
42274,109,True,3773114191,10202,DATA(2),498,1472610599.952558
42275,109,True,3773114191,10202,DATA(2),498,1472610599.952605
42276,109,True,3773114191,10202,DATA(2),448,1472610600.074774
42277,109,True,3773114191,10202,DATA(2),362,1472610600.074856
42278,109,False,3773114191,10201,END(3),1,1472610602.231083
42279,109,True,3773114191,10201,END(3),1,1472610602.498584
42280,109,True,3773114191,10202,END(3),1,1472610604.235884
42281,110,False,3495247796,0,EXTEND2(14),119,1472610655.179087
42282,110,True,3495247796,0,EXTENDED2(15),66,1472610655.477864
42283,110,False,3495247796,64228,BEGIN_DIR(13),0,1472610655.478414
42284,110,False,3495247796,64228,DATA(2),88,1472610655.478467
42285,110,True,3495247796,64228,CONNECTED(4),0,1472610655.770842
42286,110,True,3495247796,64228,DATA(2),498,1472610655.886992
42287,110,True,3495247796,64228,DATA(2),498,1472610655.889488
42288,110,True,3495247796,64228,DATA(2),498,1472610655.889529
42289,110,True,3495247796,64228,DATA(2),498,1472610655.889558
42290,110,True,3495247796,64228,DATA(2),498,1472610655.889585
42291,110,True,3495247796,64228,DATA(2),498,1472610655.889612
42292,110,True,3495247796,64228,DATA(2),445,1472610655.889698
42293,110,True,3495247796,64228,END(3),1,1472610655.966177
42294,110,False,3243374791,0,ESTABLISH_RENDEZVOUS(33),20,1472610655.966877
42295,110,False,3154778780,0,EXTEND2(14),119,1472610656.262408
42296,110,True,3243374791,0,RENDEZVOUS_ESTABLISHED(39),0,1472610656.341972
42297,110,True,3154778780,0,EXTENDED2(15),66,1472610656.613742
42298,110,False,3154778780,0,EXTEND2(14),119,1472610656.614115
42299,110,False,2505340439,0,EXTEND2(14),119,1472610656.740681
42300,110,True,2505340439,0,EXTENDED2(15),66,1472610657.017062
42301,110,False,2505340439,0,EXTEND2(14),119,1472610657.017433
42302,110,True,3154778780,0,EXTENDED2(15),66,1472610657.097013
42303,110,False,3154778780,0,EXTEND(6),212,1472610657.097721
42304,110,True,2505340439,0,EXTENDED2(15),66,1472610657.409482
42305,110,True,3154778780,0,EXTENDED(7),148,1472610657.564381
42306,110,False,3154778780,0,INTRODUCE1(34),400,1472610657.565161
42307,110,False,4129023662,0,EXTEND2(14),119,1472610657.722419
42308,110,True,3154778780,0,INTRODUCE_ACK(40),0,1472610658.009391
42309,110,True,4129023662,0,EXTENDED2(15),66,1472610658.126852
42310,110,False,4129023662,0,EXTEND2(14),119,1472610658.127238
42311,110,True,3243374791,0,RENDEZVOUS2(37),148,1472610658.127284
42312,110,False,3243374791,61726,BEGIN(1),4,1472610658.127651
42313,110,False,3243374791,61726,DATA(2),289,1472610658.127682
42314,110,True,4129023662,0,EXTENDED2(15),66,1472610658.435392
42315,110,True,3243374791,61726,CONNECTED(4),0,1472610658.551734
42316,110,True,3243374791,61726,DATA(2),498,1472610658.670721
42317,110,True,3243374791,61726,DATA(2),79,1472610658.670844
42318,110,False,3243374791,61726,DATA(2),270,1472610658.761791
42319,110,True,3243374791,61726,DATA(2),479,1472610659.16959
42320,110,False,3243374791,61726,DATA(2),300,1472610659.171193
42321,110,True,3243374791,61726,DATA(2),479,1472610659.537441
42322,111,False,3080631509,0,EXTEND2(14),119,1472610672.446467
42323,111,True,3080631509,0,EXTENDED2(15),66,1472610672.862777
42324,111,False,3080631509,51948,BEGIN_DIR(13),0,1472610672.863194
42325,111,False,3080631509,51948,DATA(2),93,1472610672.863241
42326,111,True,3080631509,51948,CONNECTED(4),0,1472610673.225628
42327,111,True,3080631509,51948,DATA(2),498,1472610673.342716
42328,111,True,3080631509,51948,DATA(2),498,1472610673.423665
42329,111,True,3080631509,51948,DATA(2),498,1472610673.50305
42330,111,True,3080631509,51948,DATA(2),498,1472610673.503156
42331,111,True,3080631509,51948,DATA(2),498,1472610673.503201
42332,111,True,3080631509,51948,DATA(2),498,1472610673.503236
42333,111,True,3080631509,51948,DATA(2),450,1472610673.503266
42334,111,True,3080631509,51948,END(3),1,1472610673.503328
42335,111,False,3844208655,0,ESTABLISH_RENDEZVOUS(33),20,1472610673.503838
42336,111,False,3030511542,0,EXTEND2(14),119,1472610673.714334
42337,111,False,2971603702,0,EXTEND2(14),119,1472610673.798273
42338,111,True,3844208655,0,RENDEZVOUS_ESTABLISHED(39),0,1472610673.877919
42339,111,True,2971603702,0,EXTENDED2(15),66,1472610674.162257
42340,111,False,2971603702,0,EXTEND2(14),119,1472610674.162821
42341,111,True,3030511542,0,EXTENDED2(15),66,1472610674.454379
42342,111,False,3030511542,0,EXTEND2(14),119,1472610674.45477
42343,111,True,2971603702,0,EXTENDED2(15),66,1472610674.63719
42344,111,False,2971603702,0,EXTEND(6),212,1472610674.638336
42345,111,False,2211783164,0,EXTEND2(14),119,1472610674.868702
42346,111,True,3030511542,0,EXTENDED2(15),66,1472610674.983674
42347,111,True,2971603702,0,EXTENDED(7),148,1472610675.307217
42348,111,False,2971603702,0,INTRODUCE1(34),400,1472610675.308579
42349,111,True,2971603702,0,INTRODUCE_ACK(40),0,1472610675.890044
42350,111,True,3844208655,0,RENDEZVOUS2(37),148,1472610676.185549
42351,111,False,3844208655,65046,BEGIN(1),4,1472610676.185931
42352,111,False,3844208655,65046,DATA(2),289,1472610676.185973
42353,111,True,3844208655,65046,CONNECTED(4),0,1472610676.692948
42354,111,True,3844208655,65046,DATA(2),498,1472610677.750466
42355,111,True,3844208655,65046,DATA(2),498,1472610677.825254
42356,111,True,3844208655,65046,DATA(2),498,1472610677.82534
42357,111,True,3844208655,65046,DATA(2),498,1472610677.825363
42358,111,True,3844208655,65046,DATA(2),498,1472610677.825381
42359,111,True,3844208655,65046,DATA(2),430,1472610677.825399
42360,111,True,3844208655,65046,DATA(2),498,1472610677.829447
42361,111,True,3844208655,65046,DATA(2),498,1472610677.90153
42362,111,True,3844208655,65046,DATA(2),498,1472610677.901624
42363,111,True,3844208655,65046,DATA(2),498,1472610677.90166
42364,111,True,3844208655,65046,DATA(2),498,1472610677.9017
42365,111,True,3844208655,65046,DATA(2),498,1472610677.901747
42366,111,True,3844208655,65046,DATA(2),498,1472610677.901773
42367,111,True,3844208655,65046,DATA(2),498,1472610677.901792
42368,111,True,3844208655,65046,DATA(2),396,1472610677.908534
42369,111,True,3844208655,65046,DATA(2),498,1472610677.908587
42370,111,True,3844208655,65046,DATA(2),498,1472610677.908609
42371,111,True,3844208655,65046,DATA(2),498,1472610677.908627
42372,111,True,3844208655,65046,DATA(2),498,1472610677.908646
42373,111,True,3844208655,65046,DATA(2),498,1472610677.908663
42374,111,True,3844208655,65046,DATA(2),498,1472610677.908682
42375,111,True,3844208655,65046,DATA(2),498,1472610677.979202
42376,111,True,3844208655,65046,DATA(2),498,1472610677.987883
42377,111,True,3844208655,65046,DATA(2),498,1472610677.987977
42378,111,True,3844208655,65046,DATA(2),498,1472610677.988001
42379,111,True,3844208655,65046,DATA(2),498,1472610677.988019
42380,111,True,3844208655,65046,DATA(2),362,1472610677.988037
42381,111,True,3844208655,65046,DATA(2),498,1472610677.988054
42382,111,True,3844208655,65046,DATA(2),498,1472610677.988072
42383,111,True,3844208655,65046,DATA(2),498,1472610678.067016
42384,111,True,3844208655,65046,DATA(2),498,1472610678.067099
42385,111,True,3844208655,65046,DATA(2),498,1472610678.06712
42386,111,True,3844208655,65046,DATA(2),498,1472610678.067137
42387,111,True,3844208655,65046,DATA(2),498,1472610678.067154
42388,111,True,3844208655,65046,DATA(2),498,1472610678.067171
42389,111,True,3844208655,65046,DATA(2),498,1472610678.067191
42390,111,True,3844208655,65046,DATA(2),498,1472610678.067246
